Company,Domain,Job Title,Company LinkedIn,Company News
Nike,nike.com,VP of Direct-to-Consumer,linkedin.com/company/nike,
Fanatics,fanatics.com,SVP of Ecommerce,linkedin.com/company/fanatics-inc-,Expanding sports betting and collectibles divisions
Dick's Sporting Goods,dickssportinggoods.com,Director of Retail Operations,linkedin.com/company/dick's-sporting-goods,Opening new House of Sport experiential stores
Under Armour,underarmour.com,VP of Global Marketing,linkedin.com/company/under-armour,New CEO leading turnaround plan
Peloton,onepeloton.com,Head of Growth Marketing,linkedin.com/company/peloton-interactive,
Topgolf Callaway Brands,topgolfcallawaybrands.com,Director of Digital,linkedin.com/company/topgolf-callaway-brands,
New Balance,newbalance.com,Senior Director of Ecommerce,linkedin.com/company/new-balance,Investing in US manufacturing expansion
DraftKings,draftkings.com,VP of Customer Acquisition,linkedin.com/company/draftkings,Launched in new US states after regulation changes
Life Time,lifetime.life,VP of Member Experience,linkedin.com/company/life-time-inc,Hiring across new club openings nationwide
Academy Sports + Outdoors,academy.com,Director of Merchandising,linkedin.com/company/academy-sports-+-outdoors,
